0,Голубева Валентина Тарасовна,"ул. Высоковольтная, д. 374",+7 060 832 1453
1,Жуков Святослав Александрович,"ш. Новосельское, д. 9/9",8 324 772 84 10
2,Ирина Геннадиевна Овчинникова,"наб. Родниковая, д. 36 к. 4/9",+7 (648) 891-65-53
3,Лукин Ипат Ефремович,"пер. Победы, д. 99 стр. 11",8 849 265 9175
4,Фролова Антонина Макаровна,"пер. Серафимовича, д. 19 стр. 7",8 331 592 1036
5,г-жа Харитонова Зинаида Федоровна,"ш. Минское, д. 4 к. 22",+7 (854) 912-59-93
6,Александрова Алевтина Харитоновна,"бул. Жуковского, д. 313 стр. 692",+7 456 327 93 76
7,г-жа Тетерина Алевтина Алексеевна,"пр. Ягодный, д. 13",+7 (803) 136-88-07
8,Ратмир Анатольевич Зимин,"наб. Минская, д. 7/2",+7 517 177 15 58
9,Гремислав Бенедиктович Устинов,"ул. Степана Разина, д. 559 стр. 772",8 (896) 929-7617
10,Селезнев Митофан Иларионович,"ул. Енисейская, д. 2/7",+7 669 798 64 45
11,Антонина Геннадиевна Третьякова,"ул. Толстого, д. 2/7 стр. 2/9",82310380184
12,Ярослав Матвеевич Кириллов,"пер. Шоссейный, д. 8/3",+7 (402) 246-3976
13,Светлана Станиславовна Рыбакова,"пр. Тупиковый, д. 5 стр. 730",+7 405 952 98 70
14,г-жа Жукова Агата Наумовна,"ш. Кольцова, д. 80",86481203805
15,Федосий Ефремович Беляков,"наб. Правды, д. 7 к. 901",82572438071
